year,elections__state,incumbent first name,incumbent middle name,incumbent last name,incumbent gender,incumbent party,incumbent election history (1),incumbent election history(2),incumbent seniority,percent of votes incumbent voted with their party,percent of votes incumbent voted against their party,election result,candidate 1 full info,candidate 1 name,candidate 1 party,candidate 1 percentage of votes,"candidate 1 gender (0=M, 1=F)",candidate 1 funding,proportion of funding candidate 1,candidate 2 full info,candidate 2 name,candidate 2 party,candidate 2 percentage of votes,"candidate 2 gender (0=M, 1=F)",candidate 2 funding,proportion of funding candidate 2,"color value (0=no women, 1=woman won, 2=woman lost, 3=both women"
1994,Tennessee,,,,,,1976,1982,,,,Incumbent lost re-election.New senator elected.Republican gain.,Bill Frist (Republican) 56.4%,Bill Frist ,Republican,56.40%,0,"$9,852,040.00",,Jim Sasser (Democratic) 42.1%,Jim Sasser ,Democratic,42.10%,0,"$4,703,959.00",,0
1994,Texas,,,,,,1993 (Special),,,,,Incumbent re-elected.,Kay Bailey Hutchison (Republican) 60.8%,Kay Bailey Hutchison ,Republican,60.80%,1,"$13,939,458.00",,Richard W. Fisher (Democratic) 38.3%,Richard W. Fisher ,Democratic,38.30%,0,"$5,891,859.00",,1
1994,Utah,Orrin,G.,Hatch,M,R,1976,1982,17,94.13,5.87,Incumbent re-elected.,Orrin Hatch (Republican) 68.8%,Orrin Hatch ,Republican,68.80%,0,"$4,492,381.00",,Patrick Shea (Democratic) 28.3%,Patrick Shea ,Democratic,28.30%,0,"$314,604.00",,0
1994,Vermont,,,,,,1988,,,,,Incumbent re-elected.,Jim Jeffords (Republican) 50.3%,Jim Jeffords ,Republican,50.30%,0,"$1,173,101.00",,Jan Backus (Democratic) 40.6%,Jan Backus ,Democratic,40.60%,1,"$316,753.00",,2
1994,Virginia,,,,,,1988,,,,,Incumbent re-elected.,Chuck Robb (Democratic) 45.6%,Chuck Robb ,Democratic,45.60%,0,"$5,633,551.00",,Oliver North (Republican) 42.9%,Oliver North ,Republican,42.90%,0,"$20,770,879.00",,0
1994,Washington,Slade,null,Gorton,M,R,1980,1986 (Lost),11,85.53,14.47,Incumbent re-elected.,Slade Gorton (Republican) 55.75%,Slade Gorton ,Republican,55.75%,0,"$5,384,819.00",,Ron Sims (Democratic) 44.25%,Ron Sims ,Democratic,44.25%,0,"$1,238,575.00",,0
1994,West Virginia,Robert,C.,Byrd,M,D,1958,1964,35,84.85,15.15,Incumbent re-elected.,Robert Byrd (Democratic) 69%,Robert Byrd ,Democratic,69%,0,"$1,588,289.00",,Stanley L. Klos (Republican) 31%,Stanley L. Klos ,Republican,31%,0,"$271,006.00",,0
1994,Wisconsin,Herb,null,Kohl,M,D,1988,,5,80.93,19.07,Incumbent re-elected.,Herb Kohl (Democratic) 58%,Herb Kohl ,Democratic,58%,0,"$8,183,417.00",,Robert Welch (Republican) 40.7%,Robert Welch ,Republican,40.70%,0,"$1,266,192.00",,0
1994,Wyoming,Malcolm,null,Wallop,M,R,1976,1982,17,84.95,15.05,Incumbent retired.New senator elected.Republican hold.,Craig L. Thomas (Republican) 58.9%,Craig L. Thomas ,Republican,58.90%,0,"$1,395,139.00",,Mike Sullivan (Democratic) 39.3%,Mike Sullivan ,Democratic,39.30%,0,"$727,710.00",,0
1996,Alabama,Howell,Thomas,Heflin,M,D,1978,1984,17,69.35,30.65,Incumbent retired.New senator elected.Republican gain.,Jeff Sessions (Republican) 52.5%,Jeff Sessions ,Republican,52.50%,0,,,Roger Bedford (Democratic) 45.5%,Roger Bedford ,Democratic,45.50%,0,"$3,216,772.00",,0
1996,Alaska,Ted,F.,Stevens,M,R,1970,1972,27,91.62,8.38,Incumbent re-elected.,Ted Stevens (Republican) 76.7%,Ted Stevens ,Republican,76.70%,0,"$3,206,888.00",,Jeff Whittaker (Green) 12.5%,Jeff Whittaker ,Green,12.50%,0,,,0
1996,Arkansas,David,Hampton,Pryor,M,D,1978,1984,17,92.52,7.48,Incumbent retired.New senator elected.Republican gain.,Tim Hutchinson (Republican) 52.7%,Tim Hutchinson ,Republican,52.70%,0,"$1,691,276.00",,Winston Bryant (Democratic) 47.3%,Winston Bryant ,Democratic,47.30%,0,"$1,606,053.00",,0
1996,Colorado,Hank,null,Brown,M,R,1990,,5,86.5,13.5,Incumbent retired.New senator elected.Republican hold.,Wayne Allard (Republican) 51.4%,Wayne Allard ,Republican,51.40%,0,"$2,198,131.00",,Tom Strickland (Democratic) 45.7%,Tom Strickland ,Democratic,45.70%,0,"$3,313,065.00",,0
1996,Delaware,,,,,,1972,1978,,,,Incumbent re-elected.,Joe Biden (Democratic) 60%,Joe Biden ,Democratic,60%,0,"$2,356,678.00",,Raymond J. Clatworthy (Republican) 38.1%,Raymond J. Clatworthy ,Republican,38.10%,0,"$1,332,167.00",,
1996,Georgia,,,,,,1972 (Special),1972,,,,Incumbent retired.New senator elected.Democratic hold.,Max Cleland (Democratic) 48.9%,Max Cleland ,Democratic,48.90%,0,"$3,273,755.00",,Guy Millner (Republican) 47.5%,Guy Millner ,Republican,47.50%,0,"$9,915,223.00",,0
1996,Idaho,Larry,E.,Craig,M,R,1990,,5,95.94,4.06,Incumbent re-elected.,Larry Craig (Republican) 57.0%,Larry Craig ,Republican,57.00%,0,"$2,905,952.00",,Walt Minnick (Democratic) 39.9%,Walt Minnick ,Democratic,39.90%,0,"$2,181,151.00",,0
1996,Illinois,Paul,Martin,Simon,M,D,1984,1990,11,86.02,13.98,Incumbent retired.New senator elected.Democratic hold.,Dick Durbin (Democratic) 56.1%,Dick Durbin ,Democratic,56.10%,0,"$4,767,940.00",,Al Salvi (Republican) 40.7%,Al Salvi ,Republican,40.70%,0,"$4,754,916.00",,0
1996,Iowa,Tom,null,Harkin,M,D,1984,1990,11,90.01,9.99,Incumbent re-elected.,Tom Harkin (Democratic) 51.8%,Tom Harkin ,Democratic,51.80%,0,"$6,059,821.00",,Jim Ross Lightfoot (Republican) 46.7%,Jim Ross Lightfoot ,Republican,46.70%,0,"$2,474,871.00",,0
1996,Kansas,Nancy,Landon,Kassebaum,F,R,1978,1984,17,85.21,14.79,Incumbent retired.New senator elected.Republican hold.,Pat Roberts (Republican) 62.0%,Pat Roberts ,Republican,62.00%,0,"$2,297,886.00",,Sally Thompson (Democratic) 34.4%,Sally Thompson ,Democratic,34.40%,1,"$702,346.00",,2
1996,Kentucky,Mitch,null,McConnell,M,R,1984,1990,11,94.71,5.29,Incumbent re-elected.,Mitch McConnell (Republican) 55.5%,Mitch McConnell ,Republican,55.50%,0,"$5,030,245.00",,Steve Beshear (Democratic) 42.8%,Steve Beshear ,Democratic,42.80%,0,"$1,772,276.00",,0
1996,Louisiana,,,,,,1972,1978,,,,Incumbent retired.New senator elected.Democratic hold.,Mary Landrieu (Democratic) 50.1%,Mary Landrieu ,Democratic,50.10%,1,"$2,967,554.00",,Woody Jenkins (Republican) 49.9%,Woody Jenkins ,Republican,49.90%,0,"$1,978,413.00",,1
1996,Maine,William,Sebastian,Cohen,M,R,1978,1984,17,74.3,25.7,Incumbent retired.New senator elected.Republican hold.,Susan Collins (Republican) 49.2%,Susan Collins ,Republican,49.20%,1,"$1,721,825.00",,Joseph E. Brennan (Democratic) 43.8%,Joseph E. Brennan ,Democratic,43.80%,0,"$978,848.00",,1
1996,Massachusetts,John,null,Kerry,M,D,1984,1990,11,91.92,8.08,Incumbent re-elected.,John Kerry (Democratic) 52.2%,John Kerry ,Democratic,52.20%,0,"$8,042,413.00",,William Weld (Republican) 44.7%,William Weld ,Republican,44.70%,0,"$8,074,417.00",,0
1996,Michigan,Carl,null,Levin,M,D,1978,1984,17,93.52,6.48,Incumbent re-elected.,Carl Levin (Democratic) 58.4%,Carl Levin ,Democratic,58.40%,0,"$6,127,326.00",,Ronna Romney (Republican) 39.9%,Ronna Romney ,Republican,39.90%,1,"$3,309,794.00",,2
1996,Minnesota,Paul,D.,Wellstone,M,D,1990,,5,90.06,9.94,Incumbent re-elected.,Paul Wellstone (Democratic–Farmer–Labor) 50.3%,Paul Wellstone ,Democratic–Farmer–Labor,50.30%,0,"$7,527,958.00",,Rudy Boschwitz (Republican) 41.3%,Rudy Boschwitz ,Republican,41.30%,0,"$4,675,227.00",,0
1996,Mississippi,Thad,null,Cochran,M,R,1978,1984,17,92.7,7.3,Incumbent re-elected.,Thad Cochran (Republican) 71.0%,Thad Cochran ,Republican,71.00%,0,"$997,364.00",,James Hunt (Democratic) 27.4%,James Hunt ,Democratic,27.40%,0,,,0
1996,Montana,Max,null,Baucus,M,D,1978,1984,17,76.52,23.48,Incumbent re-elected.,Max Baucus (Democratic) 49.5%,Max Baucus ,Democratic,49.50%,0,"$3,821,970.00",,Denny Rehberg (Republican) 44.7%,Denny Rehberg ,Republican,44.70%,0,"$1,369,530.00",,0
1996,Nebraska,,,,,,1978,1984,,,,Incumbent retired.New senator elected.Republican gain.,Chuck Hagel (Republican) 56.1%,Chuck Hagel ,Republican,56.10%,0,"$3,612,338.00",,Ben Nelson (Democratic) 41.7%,Ben Nelson ,Democratic,41.70%,0,"$2,179,131.00",,0
1996,New Hampshire,Bob,null,Smith,M,R,1990,,5,91.67,8.33,Incumbent re-elected.,Bob Smith (Republican) 49.3%,Bob Smith ,Republican,49.30%,0,"$2,030,690.00",,Dick Swett (Democratic) 46.2%,Dick Swett ,Democratic,46.20%,0,"$1,759,089.00",,0
1996,New Jersey,,,,,,1978,1984,,,,Incumbent retired.New senator elected.Democratic hold.,Robert Torricelli (Democratic) 52.7%,Robert Torricelli ,Democratic,52.70%,0,"$9,211,508.00",,Dick Zimmer (Republican) 42.5%,Dick Zimmer ,Republican,42.50%,0,"$8,253,612.00",,0
1996,New Mexico,Pete,V.,Domenici,M,R,1972,1978,23,93.06,6.94,Incumbent re-elected.,Pete Domenici (Republican) 64.7%,Pete Domenici ,Republican,64.70%,0,"$3,470,433.00",,Art Trujillo (Democratic) 29.8%,Art Trujillo ,Democratic,29.80%,0,,,0
1996,North Carolina,Jesse,null,Helms,M,R,1972,1978,23,92.55,7.45,Incumbent re-elected.,Jesse Helms (Republican) 52.6%,Jesse Helms ,Republican,52.60%,0,"$14,594,438.00",,Harvey Gantt (Democratic) 45.9%,Harvey Gantt ,Democratic,45.90%,0,"$8,220,805.00",,0
1996,Oklahoma,,,,,,1994,,,,,Incumbent re-elected.,Jim Inhofe (Republican) 56.7%,Jim Inhofe ,Republican,56.70%,0,"$2,708,770.00",,James Boren (Democratic) 40.1%,James Boren ,Democratic,40.10%,0,,,0
1996,Oregon,Mark,Odom,Hatfield,M,R,1966,1972,29,78.53,21.47,Incumbent retired.New senator elected.Republican hold.,Gordon H. Smith (Republican) 49.8%,Gordon H. Smith ,Republican,49.80%,0,"$9,389,580.00",,Tom Bruggere (Democratic) 45.9%,Tom Bruggere ,Democratic,45.90%,0,"$3,318,883.00",,0
1996,Rhode Island,Claiborne,de Borda,Pell,M,D,1960,1966,35,88.86,11.14,Incumbent retired.New senator elected.Democratic hold.,Jack Reed (Democratic) 63.3%,Jack Reed ,Democratic,63.30%,0,"$2,688,136.00",,Nancy J. Mayer (Republican) 35%,Nancy J. Mayer ,Republican,35%,1,"$787,231.00",,2
1996,South Carolina,Strom,null,Thurmond,M,R,1954,1956 (Special),40,96.48,3.52,Incumbent re-elected.,Strom Thurmond (Republican) 53.4%,Strom Thurmond ,Republican,53.40%,0,"$2,446,034.00",,Elliot Close (Democratic) 44.0%,Elliot Close ,Democratic,44.00%,0,"$1,919,735.00",,0
1996,South Dakota,Larry,Lee,Pressler,null,R,1978,1984,17,93.62,6.38,Incumbent lost re-election.New senator elected.Democratic gain.,Tim Johnson (Democratic) 51.3%,Tim Johnson ,Democratic,51.30%,0,"$2,866,518.00",,Larry Pressler (R) 48.7%,Larry Pressler ,R,48.70%,0,"$4,680,627.00",,0
1996,Tennessee,Fred,null,Thompson,M,R,1994 (Special),,3,90.79,9.21,Incumbent re-elected.,Fred Thompson (Republican) 61.4%,Fred Thompson ,Republican,61.40%,0,,,J. Houston Gordon (Democratic) 36.8%,J. Houston Gordon ,Democratic,36.80%,0,"$800,607.00",,0
1996,Texas,Phil,null,Gramm,M,R,1984,1990,11,93.45,6.55,Incumbent re-elected.,Phil Gramm (Republican) 54.8%,Phil Gramm ,Republican,54.80%,0,"$10,943,898.00",,Victor Morales (Democratic) 43.9%,Victor Morales ,Democratic,43.90%,0,"$999,290.00",,0
1996,Virginia,John,W.,Warner,M,R,1978,1984,17,94.51,5.49,Incumbent re-elected.,John Warner (Republican) 52.5%,John Warner ,Republican,52.50%,0,"$6,229,326.00",,Mark Warner (Democratic) 47.4%,Mark Warner ,Democratic,47.40%,0,,,0
1996,West Virginia,,,,,,1984,1990,,,,Incumbent re-elected.,Jay Rockefeller (Democratic) 76.6%,Jay Rockefeller ,Democratic,76.60%,0,"$3,698,845.00",,Betty Burks (Republican) 23.4%,Betty Burks ,Republican,23.40%,1,,,2
1996,Wyoming,,,,,,1978,1984,,,,Incumbent retired.New senator elected.Republican hold.,Mike Enzi (Republican) 54.1%,Mike Enzi ,Republican,54.10%,0,"$1,020,906.00",,Kathy Karpan (Democratic) 42.2%,Kathy Karpan ,Democratic,42.20%,1,"$819,774.00",,2
1998,Alabama,Richard,C.,Shelby,M,R,1986,1992,11,90.85,9.15,Incumbent re-elected.,Richard Shelby (Republican) 63.2%,Richard Shelby ,Republican,63.20%,0,,,Clayton Suddith (Democratic) 36.7%,Clayton Suddith ,Democratic,36.70%,0,,,0
1998,Alaska,Frank,H.,Murkowski,M,R,1980,1986,17,94.69,5.31,Incumbent re-elected.,Frank Murkowski (Republican) 74.5%,Frank Murkowski ,Republican,74.50%,0,,,Joe Sonneman (Democratic) 19.7%,Joe Sonneman ,Democratic,19.70%,0,,,0
1998,Arizona,John,null,McCain,M,R,1986,1992,11,84.33,15.67,Incumbent re-elected.,John McCain (Republican) 68.7%,John McCain ,Republican,68.70%,0,,,Ed Ranger (Democratic) 27.2%,Ed Ranger ,Democratic,27.20%,0,,,0
1998,Arkansas,Dale,null,Bumpers,M,D,1974,1980,23,89.09,10.91,Incumbent retired.New senator elected.Democratic hold.,Blanche Lincoln (Democratic) 55.1%,Blanche Lincoln ,Democratic,55.10%,0,,,Fay Boozman (Republican) 42.2%,Fay Boozman ,Republican,42.20%,0,,,0
1998,California,Barbara,null,Boxer,F,D,1992,,5,92.06,7.94,Incumbent re-elected.,Barbara Boxer (Democratic) 53%,Barbara Boxer ,Democratic,53%,1,"$15,622,885.00",,Matt Fong (Republican) 43%,Matt Fong ,Republican,43%,0,"$11,839,063.00",,1
1998,Colorado,,,,,,1992,,,,,Incumbent re-elected.,Ben Nighthorse Campbell (Republican) 62.5%,Ben Nighthorse Campbell ,Republican,62.50%,0,,,Dottie Lamm (Democratic) 35%,Dottie Lamm ,Democratic,35%,1,,,2
1998,Connecticut,,,,,,1980,1986,,,,Incumbent re-elected.,Chris Dodd (Democratic) 65.1%,Chris Dodd ,Democratic,65.10%,0,"$6,440,438.00",,Gary Franks (Republican) 32.4%,Gary Franks ,Republican,32.40%,0,,,0
1998,Florida,Bob,null,Graham,M,D,1986,1992,11,85.69,14.31,Incumbent re-elected.,Bob Graham (Democratic) 62.5%,Bob Graham ,Democratic,62.50%,0,,,Charlie Crist (Republican) 37.5%,Charlie Crist ,Republican,37.50%,0,,,0
1998,Georgia,Paul,null,Coverdell,M,R,1992,,5,93.31,6.69,Incumbent re-elected.,Paul Coverdell (Republican) 52.3%,Paul Coverdell ,Republican,52.30%,0,"$8,710,865.00",,Michael Coles (Democratic) 45.3%,Michael Coles ,Democratic,45.30%,0,,,0
1998,Hawaii,Daniel,K.,Inouye,M,D,1962,1968,29,93.14,6.86,Incumbent re-elected.,Daniel Inouye (Democratic) 79.2%,Daniel Inouye ,Democratic,79.20%,0,,,Crystal Young (Republican) 17.8%,Crystal Young ,Republican,17.80%,1,,,2
1998,Idaho,Dirk,null,Kempthorne,M,R,1992,,5,94.65,5.35,Incumbent retired.New senator elected.Republican hold.,Mike Crapo (Republican) 69.5%,Mike Crapo ,Republican,69.50%,0,,,Bill Mauk (Democratic) 28.4%,Bill Mauk ,Democratic,28.40%,0,,,0
1998,Illinois,,,,,,1992,,,,,Incumbent lost re-election.New senator elected.Republican gain.,Peter Fitzgerald (Republican) 50.3%,Peter Fitzgerald ,Republican,50.30%,0,"$17,898,456.00",,Carol Moseley Braun (Democratic) 47.4%,Carol Moseley Braun ,Democratic,47.40%,1,"$9,198,678.00",,2
1998,Indiana,,,,,,1990 (Special),1992,,,,Incumbent retired.New senator elected.Democratic gain.,Evan Bayh (Democratic) 63.7%,Evan Bayh ,Democratic,63.70%,0,,,Paul Helmke (Republican) 34.8%,Paul Helmke ,Republican,34.80%,0,,,0
1998,Iowa,,,,,,1980,1986,,,,Incumbent re-elected.,Chuck Grassley (Republican) 68.4%,Chuck Grassley ,Republican,68.40%,0,,,David Osterberg (Democratic) 30.5%,David Osterberg ,Democratic,30.50%,0,,,0
1998,Kansas,Sam,null,Brownback,M,R,1996 (Special),,3,92.72,7.28,Incumbent re-elected.,Sam Brownback (Republican) 65.3%,Sam Brownback ,Republican,65.30%,0,,,Paul Feleciano Jr. (Democratic) 31.6%,Paul Feleciano Jr. ,Democratic,31.60%,0,,,0
1998,Kentucky,Wendell,H.,Ford,M,D,1974,1980,23,86.26,13.74,Incumbent retired.New senator elected.Republican gain.,Jim Bunning (Republican) 49.7%,Jim Bunning ,Republican,49.70%,0,,,Scotty Baesler (Democratic) 49.2%,Scotty Baesler ,Democratic,49.20%,0,,,0
1998,Louisiana,John,B.,Breaux,M,D,1986,1992,11,81.14,18.86,Incumbent re-elected.,John Breaux (Democratic) 64%,John Breaux ,Democratic,64%,0,,,Jim Donelon (Republican) 32%,Jim Donelon ,Republican,32%,0,,,0
1998,Maryland,Barbara,A.,Mikulski,F,D,1986,1992,11,94.71,5.29,Incumbent re-elected.,Barbara Mikulski (Democratic) 70.5%,Barbara Mikulski ,Democratic,70.50%,1,,,Ross Pierpont (Republican) 29.5%,Ross Pierpont ,Republican,29.50%,0,,,1
1998,Missouri,,,,,,1986,1992,,,,Incumbent re-elected.,Kit Bond (Republican) 52.7%,Kit Bond ,Republican,52.70%,0,"$6,686,117.00",,Jay Nixon (Democratic) 43.8%,Jay Nixon ,Democratic,43.80%,0,,,1
1998,Nevada,Harry,null,Reid,M,D,1986,1992,11,86.58,13.42,Incumbent re-elected.,Harry Reid (Democratic) 47.9%,Harry Reid ,Democratic,47.90%,0,,,John Ensign (Republican) 47.8%,John Ensign ,Republican,47.80%,0,,,0
1998,New Hampshire,Judd,null,Gregg,M,R,1992,,5,90.33,9.67,Incumbent re-elected.,Judd Gregg (Republican) 67.8%,Judd Gregg ,Republican,67.80%,0,,,George Condodemetraky (Democratic) 28.2%,George Condodemetraky ,Democratic,28.20%,0,,,0
1998,New York,,,,,,1980,1986,,,,Incumbent lost re-election.New senator elected.Democratic gain.,Chuck Schumer (Democratic) 54.6%,Chuck Schumer ,Democratic,54.60%,0,"$17,063,975.00",,Al D'Amato (Republican) 44.1%,Al D'Amato ,Republican,44.10%,0,"$27,441,436.00",,0
1998,North Carolina,Lauch,null,Faircloth,M,R,1992,,5,86.43,13.57,Incumbent lost re-election.New senator elected.Democratic gain.,John Edwards (Democratic) 51.2%,John Edwards ,Democratic,51.20%,0,"$8,420,983.00",,Lauch Faircloth (Republican) 47.0%,Lauch Faircloth ,Republican,47.00%,0,f,,0
1998,North Dakota,Byron,L.,Dorgan,M,D,1992,,5,89.26,10.74,Incumbent re-elected.,Byron Dorgan (Democratic) 63.1%,Byron Dorgan ,Democratic,63.10%,0,,,Donna Nalewaja (Republican) 35.2%,Donna Nalewaja ,Republican,35.20%,1,,,2
1998,Ohio,John,H.,Glenn,M,D,1974,1980,23,92.19,7.81,Incumbent retired.New senator elected.Republican gain.,George Voinovich (Republican) 56.5%,George Voinovich ,Republican,56.50%,0,"$7,780,850.00",,Mary Boyle (Democratic) 43.5%,Mary Boyle ,Democratic,43.50%,0,,,0
1998,Oklahoma,Don,null,Nickles,M,R,1980,1986,17,91.23,8.77,Incumbent re-elected.,Don Nickles (Republican) 66.4%,Don Nickles ,Republican,66.40%,0,,,Don Carroll (Democratic) 31.3%,Don Carroll ,Democratic,31.30%,0,,,0
1998,Oregon,Ron,null,Wyden,M,D,1996 (Special),,2,87.88,12.12,Incumbent re-elected.,Ron Wyden (Democratic) 61%,Ron Wyden ,Democratic,61%,0,"$7,554,494.00",,John Lim (Republican) 33.8%,John Lim ,Republican,33.80%,0,,,0
1998,Pennsylvania,Arlen,null,Specter,M,R,1980,1986,17,69.34,30.66,Incumbent re-elected.,Arlen Specter (Republican) 61.3%,Arlen Specter ,Republican,61.30%,0,"$7,955,152.00",,Bill Lloyd (Democratic) 34.8%,Bill Lloyd ,Democratic,34.80%,0,,,0
1998,South Carolina,Ernest,F.,Hollings,M,D,1968,1974,31,81.07,18.93,Incumbent re-elected.,Ernest Hollings (Democratic) 52.7%,Ernest Hollings ,Democratic,52.70%,0,,,Bob Inglis (Republican) 45.7%,Bob Inglis ,Republican,45.70%,0,,,0
1998,South Dakota,,,,,,1986,1992,,,,Incumbent re-elected.,Tom Daschle (Democratic) 62.1%,Tom Daschle ,Democratic,62.10%,0,"$6,898,554.00",,Ron Schmidt (Republican) 36.4%,Ron Schmidt ,Republican,36.40%,0,,,0
1998,Utah,,,,,,1992,,,,,Incumbent re-elected.,Bob Bennett (Republican) 64%,Bob Bennett ,Republican,64%,0,,,Scott Leckman (Democratic) 33%,Scott Leckman ,Democratic,33%,0,,,0
1998,Vermont,Patrick,J.,Leahy,M,D,1974,1980,23,89.7,10.3,Incumbent re-elected.,Patrick Leahy (Democratic) 72.2%,Patrick Leahy ,Democratic,72.20%,0,,,Fred Tuttle (Republican) 22.5%,Fred Tuttle ,Republican,22.50%,0,,,0
1998,Washington,Patty,null,Murray,F,D,1992,,5,93.17,6.83,Incumbent re-elected.,Patty Murray (Democratic) 58.4%,Patty Murray ,Democratic,58.40%,1,"$6,306,765.00",,Linda Smith (Republican) 41.6%,Linda Smith ,Republican,41.60%,1,,,3
1998,Wisconsin,Russ,null,Feingold,M,D,1992,,5,81.4,18.6,Incumbent re-elected.,Russ Feingold (Democratic) 50.6%,Russ Feingold ,Democratic,50.60%,0,,,Mark Neumann (Republican) 48.4%,Mark Neumann ,Republican,48.40%,0,"$4,497,906.00",,0
2000,Arizona,Jon,null,Kyl,M,R,1994,,5,91.99,8.01,Incumbent re-elected.,Jon Kyl (Republican) 79.3%,Jon Kyl ,Republican,79.30%,0,"$3,619,454.00",,William Toel (Independent) 7.8%,William Toel ,Independent,7.80%,0,,,0
2000,California,Dianne,null,Feinstein,F,D,1992 (Special),1994,7,93.11,6.89,Incumbent re-elected.,Dianne Feinstein (Democratic) 55.8%,Dianne Feinstein ,Democratic,55.80%,1,"$10,464,194.00",,Tom Campbell (Republican) 36.6%,Tom Campbell ,Republican,36.60%,0,"$4,733,507.00",,1
2000,Connecticut,,,,,,1988,1994,,,,Incumbent re-elected.,Joe Lieberman (Democratic) 63.2%,Joe Lieberman ,Democratic,63.20%,0,"$4,193,577.00",,Philip Giordano (Republican) 34.1%,Philip Giordano ,Republican,34.10%,0,"$1,278,539.00",,0
2000,Delaware,William,V.,Roth,M,R,1970,1976,29,88.26,11.74,Incumbent lost re-election.New senator elected.Democratic gain.,Tom Carper (Democratic) 55.5%,Tom Carper ,Democratic,55.50%,0,"$2,637,816.00",,William Roth (Republican) 43.7%,William Roth ,Republican,43.70%,0,"$4,532,063.00",,0
2000,Florida,,,,,,1988,1994,,,,Incumbent retired.New senator elected.Democratic gain.,Bill Nelson (Democratic) 51%,Bill Nelson ,Democratic,51%,0,"$6,639,346.00",,Bill McCollum (Republican) 46.2%,Bill McCollum ,Republican,46.20%,0,"$7,936,639.00",,0
2000,Hawaii,Daniel,K.,Akaka,M,D,1990 (Special),1994,9,96.11,3.89,Incumbent re-elected.,Daniel Akaka (Democratic) 72.7%,Daniel Akaka ,Democratic,72.70%,0,"$897,239.00",,John Carroll (Republican) 24.5%,John Carroll ,Republican,24.50%,0,,,0
2000,Indiana,Richard,G.,Lugar,M,R,1976,1982,23,90.83,9.17,Incumbent re-elected.,Richard Lugar (Republican) 66.5%,Richard Lugar ,Republican,66.50%,0,"$5,240,055.00",,David Johnson (Democratic) 31.9%,David Johnson ,Democratic,31.90%,0,"$1,451,828.00",,0
2000,Maine,Olympia,J.,Snowe,F,R,1994,,5,78.14,21.86,Incumbent re-elected.,Olympia Snowe (Republican) 68.9%,Olympia Snowe ,Republican,68.90%,1,"$2,512,612.00",,Mark Lawrence (Democratic) 31.1%,Mark Lawrence ,Democratic,31.10%,0,"$740,061.00",,1
2000,Maryland,Paul,S.,Sarbanes,M,D,1976,1982,23,94.47,5.53,Incumbent re-elected.,Paul Sarbanes (Democratic) 63.2%,Paul Sarbanes ,Democratic,63.20%,0,"$2,363,854.00",,Paul Rappaport (Republican) 36.7%,Paul Rappaport ,Republican,36.70%,0,,,0
2000,Massachusetts,,,,,,1962 (Special),1964,,,,Incumbent re-elected.,Ted Kennedy (Democratic) 72.9%,Ted Kennedy ,Democratic,72.90%,0,"$11,968,524.00",,Jack E. Robinson III (Republican) 12.9%,Jack E. Robinson III ,Republican,12.90%,0,,,0
2000,Michigan,Spencer,null,Abraham,M,R,1994,,5,90.28,9.72,Incumbent lost re-election.New senator elected.Democratic gain.,Debbie Stabenow (Democratic) 49.4%,Debbie Stabenow ,Democratic,49.40%,1,"$8,297,425.00",,Spencer Abraham (Republican) 47.9%,Spencer Abraham ,Republican,47.90%,0,"$14,504,067.00",,1
2000,Minnesota,Rod,null,Grams,M,R,1994,,5,93.93,6.07,Incumbent lost re-election.New senator elected.Democratic gain.,Mark Dayton (Democratic) 48.8%,Mark Dayton ,Democratic,48.80%,0,"$12,040,466.00",,Rod Grams (Republican) 43.3%,Rod Grams ,Republican,43.30%,0,,,0
2000,Mississippi,Trent,null,Lott,M,R,1988,1994,11,96.85,3.15,Incumbent re-elected.,Trent Lott (Republican) 65.9%,Trent Lott ,Republican,65.90%,0,"$4,953,743.00",,Troy Brown (Democratic) 31.6%,Troy Brown ,Democratic,31.60%,0,,,0
2000,Missouri,John,null,Ashcroft,M,R,1994,,3,93.28,6.72,Incumbent lost re-election.New senator elected posthumously.Democratic gain.,Mel Carnahan (Democratic) 50.4%,Mel Carnahan ,Democratic,50.40%,0,"$9,185,101.00",,John Ashcroft (Republican) 48.4%,John Ashcroft ,Republican,48.40%,0,"$9,837,573.00",,0
2000,Montana,Conrad,null,Burns,M,R,1988,1994,11,92.6,7.4,Incumbent re-elected.,Conrad Burns (Republican) 50.6%,Conrad Burns ,Republican,50.60%,0,"$5,230,174.00",,Brian Schweitzer (Democratic) 47.2%,Brian Schweitzer ,Democratic,47.20%,0,"$1,898,851.00",,0
2000,Nebraska,,,,,,1988,1994,,,,Incumbent retired.New senator elected.Democratic hold.,Ben Nelson (Democratic) 51%,Ben Nelson ,Democratic,51%,0,"$2,927,316.00",,Don Stenberg (Republican) 48.8%,Don Stenberg ,Republican,48.80%,0,"$1,883,640.00",,0
2000,Nevada,Richard,H.,Bryan,M,D,1988,1994,11,93.27,6.73,Incumbent retired.New senator elected.Republican gain.,John Ensign (Republican) 55.1%,John Ensign ,Republican,55.10%,0,"$4,878,626.00",,Edward M. Bernstein (Democratic) 39.7%,Edward M. Bernstein ,Democratic,39.70%,0,"$2,483,512.00",,0
